School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 6-8 ELA,2022-5906,Annual Vacancy,Filled,7th grade ELA Pre-AP Teacher - IDEA Hidden Meadow College Prep (Immediate Opening),1,0,IDEA Hidden Meadow College Prep,"San Antonio, TX",Full-Time,7/12/2023,7/27/2023,96822
2023-2024,Instructional,School Lead Team,School Counselor (College Prep),2022-5907,Mid-Year Vacancy,Filled,School Counselor - IDEA Ingram Hills College Prep (Immediate Opening),1,0,IDEA Ingram Hills College Prep,"San Antonio, TX",Full-Time,7/11/2023,10/10/2023,97555
2023-2024,Operations,Receptionist,Receptionist (Shared),2022-5908,Mid-Year Vacancy,Filled,Receptionist - IDEA Riverview (Immediate Opening),1,0,IDEA Riverview,"Lower Rio Grande Valley, TX",Full-Time,7/12/2023,7/19/2023,90663
2023-2024,Operations,Operations Leadership,APO (Shared),2022-5909,Mid-Year Vacancy,Filled,Assistant Principal of Operations - IDEA Mesquite Hills (Immediate Opening),1,0,IDEA Mesquite Hills,"El Paso, TX",Full-Time,7/12/2023,7/25/2023,95129
2023-2024,Instructional,Administrative Support,Testing Coordinator (College Prep),2022-5911,Annual Vacancy,Filled,Testing Coordinator - IDEA Rio Vista College Prep (Immediate Opening),1,0,IDEA Rio Vista College Prep,"El Paso, TX",Full-Time,7/12/2023,7/25/2023,97310
2023-2024,Instructional,Teaching - Other,Teacher (Academy): Interventionist,2022-5913,Annual Vacancy,Filled,Interventionist Teacher - IDEA Southeast Academy (Immediate Opening),1,0,IDEA Southeast Academy,"Tarrant County, TX",Full-Time,7/12/2023,7/18/2023,101934
2023-2024,Instructional,School Lead Team,School Counselor (Academy),2022-5915,Annual Vacancy,Filled,School Counselor- IDEA Lake Houston Academy (Immediate Opening),1,0,IDEA Lake Houston Academy,"Greater Houston, TX",Full-Time,7/12/2023,7/26/2023,97699
2023-2024,Instructional,School Lead Team,School Counselor (College Prep),2022-5916,Mid-Year Vacancy,Filled,School Counselor- IDEA Hardy College Prep (Immediate Opening),1,0,IDEA Hardy College Prep,"Greater Houston, TX",Full-Time,7/12/2023,8/22/2023,97268
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 9-12 ELA,2022-5917,Mid-Year Vacancy,Filled,8th grade ELA Pre-AP Teacher /9th English I Pre-AP Teacher- IDEA Innovation College Prep (Immediate Opening),1,0,IDEA Innovation College Prep,Southern Louisiana,Full-Time,7/11/2023,7/18/2023,1590
2023-2024,Instructional,Teaching - Social Studies,Teacher: 6-8 Social Studies,2022-5918,Annual Vacancy,Filled,8th grade Social Studies Pre-AP/9th grade AP World History Teacher - IDEA Innovation College Prep (Immediate Opening),1,0,IDEA Innovation College Prep,Southern Louisiana,Full-Time,7/10/2023,7/25/2023,2409
